transaction_id,transaction_date,member_id,member_first_name,member_last_name,member_email,member_tier,member_join_date,member_city,member_state,store_name,store_city,store_state,store_region,book_id,isbn,title,genre,format,author_first,author_last,publisher_name,publisher_city,publisher_country,publication_year,list_price,quantity,discount_percent,sale_total
11,2022-08-27,106,Uma,Jones,uma.jones106@email.com,Silver,2022-08-05,St. Louis,TX,Harvard Book Store,Cambridge,MA,Northeast,58,978-752-46347-76-7,No Trace Found Vol. 2,Mystery,Audiobook,Patrick,Rothfuss,Simon & Schuster,New York,USA,2012,24.29,3,5,69.24
12,2019-09-28,5,Bailey,Jackson,bailey.jackson5@email.com,Bronze,2019-03-19,San Francisco,CA,Elliot Bay Book Co,Seattle,WA,Pacific,6,978-777-39871-47-1,The Quiet Hours Vol. 6,Fiction,eBook,Jhumpa,Lahiri,Knopf,New York,USA,2007,28.62,1,15,24.33
13,2020-05-31,5,Bailey,Jackson,bailey.jackson5@email.com,Bronze,2019-03-19,San Francisco,CA,BookPeople,Austin,TX,South,154,978-982-51033-83-6,Emberfall Vol. 2,Fantasy,Hardcover,Malcolm,Gladwell,Bloomsbury,London,UK,2019,23.82,2,10,42.88
14,2021-02-10,141,Sam,Walker,sam.walker141@email.com,Platinum,2018-01-05,Iowa City,WA,Prairie Lights,Iowa City,IA,Midwest,183,978-627-85372-40-2,The Long Road Vol. 7,Biography,Audiobook,Malcolm,Gladwell,HarperCollins,New York,USA,2005,29.28,2,20,46.84
15,2021-08-13,130,Yara,King,yara.king130@email.com,Silver,2019-12-13,Iowa City,NY,BookPeople,Austin,TX,South,118,978-108-84177-97-0,First Contact Vol. 6,Science Fiction,eBook,Anthony,Doerr,Macmillan Publishers,New York,USA,2017,9.74,3,0,29.22
16,2019-07-29,204,Wren,Moore,wren.moore204@email.com,Bronze,2016-01-17,Austin,NC,Books & Books,Coral Gables,FL,South,134,978-115-56955-40-9,Shadow Realm Vol. 6,Fantasy,Paperback,Roxane,Gay,Macmillan Publishers,New York,USA,2005,12.73,3,0,38.19
17,2022-08-18,192,Rosa,Scott,rosa.scott192@email.com,Platinum,2023-01-03,Austin,CA,Malaprop's Bookstore,Asheville,NC,South,170,978-884-73736-34-3,Against All Odds Vol. 2,Biography,eBook,Ta-Nehisi,Coates,Penguin Random House,New York,USA,2011,19.49,3,10,52.62
18,2019-08-10,153,Victor,Walker,victor.walker153@email.com,Bronze,2016-11-08,Iowa City,CA,The Booksmith,San Francisco,CA,Pacific,73,978-948-70258-29-6,Shadows Remain,Mystery,Audiobook,Stephen,King,Bloomsbury,London,UK,2016,12.58,1,5,11.95
19,2020-10-27,142,Carlos,Walker,carlos.walker142@email.com,Platinum,2016-01-17,Asheville,MO,The Booksmith,San Francisco,CA,Pacific,87,978-553-48974-85-6,Orbit Zero Vol. 7,Science Fiction,Paperback,Sally,Rooney,Knopf,New York,USA,2017,35.36,2,20,56.58
20,2019-11-04,153,Victor,Walker,victor.walker153@email.com,Bronze,2016-11-08,Iowa City,CA,BookPeople,Austin,TX,South,67,978-765-18993-93-0,The Cold Case Vol. 3,Mystery,Hardcover,N.K.,Jemisin,Penguin Random House,New York,USA,2016,42.99,1,10,38.69
21,2021-04-07,30,Bailey,Anderson,bailey.anderson30@email.com,Bronze,2018-05-26,Austin,TX,Books & Books,Coral Gables,FL,South,231,978-453-29198-47-0,The Lost Century Vol. 7,History,Audiobook,Jhumpa,Lahiri,HarperCollins,New York,USA,2017,39.45,2,15,67.06
22,2019-02-22,72,Diana,Brown,diana.brown72@email.com,Gold,2015-01-22,Seattle,CA,Left Bank Books,St. Louis,MO,Midwest,175,978-936-36174-87-2,Against All Odds Vol. 7,Biography,Audiobook,Patrick,Rothfuss,Macmillan Publishers,New York,USA,2018,26.09,2,15,44.36
23,2021-04-08,133,Yara,Scott,yara.scott133@email.com,Silver,2017-08-28,St. Louis,FL,Prairie Lights,Iowa City,IA,Midwest,76,978-599-37802-55-4,Shadows Remain Vol. 4,Mystery,eBook,Zadie,Smith,Bloomsbury,London,UK,2015,9.97,3,5,28.41
24,2022-03-17,299,Grace,Green,grace.green299@email.com,Platinum,2019-07-26,Asheville,CA,Left Bank Books,St. Louis,MO,Midwest,10,978-680-51245-37-7,Between Two Worlds Vol. 2,Fiction,eBook,Erik,Larson,Penguin Random House,New York,USA,2007,22.63,1,20,18.1
25,2021-12-30,114,Victor,Baker,victor.baker114@email.com,Gold,2020-06-27,Coral Gables,IA,The Booksmith,San Francisco,CA,Pacific,88,978-740-37659-43-1,Orbit Zero Vol. 8,Science Fiction,Hardcover,Jhumpa,Lahiri,Knopf,New York,USA,2008,29.72,2,15,50.52
26,2020-09-06,184,Lila,Thompson,lila.thompson184@email.com,Gold,2020-10-19,Denver,CA,Malaprop's Bookstore,Asheville,NC,South,233,978-348-16653-95-8,Turning Points,History,eBook,Min Jin,Lee,Farrar Straus Giroux,New York,USA,2023,13.66,1,20,10.93
27,2020-08-24,286,Ethan,Green,ethan.green286@email.com,Gold,2021-09-03,Menlo Park,MO,Tattered Cover,Denver,CO,Mountain,216,978-697-56254-16-0,Empire Rising Vol. 8,History,Audiobook,Stephen,King,HarperCollins,New York,USA,2012,26.18,2,0,52.36
28,2023-07-14,133,Yara,Scott,yara.scott133@email.com,Silver,2017-08-28,St. Louis,FL,Left Bank Books,St. Louis,MO,Midwest,33,978-407-69929-50-1,Edge of Home,Fiction,Paperback,Michelle,Obama,Scholastic,New York,USA,2009,18.02,1,10,16.22
29,2019-07-02,172,Lila,Anderson,lila.anderson172@email.com,Platinum,2016-06-24,Coral Gables,IA,The Booksmith,San Francisco,CA,Pacific,243,978-163-97528-25-7,Your Best Self Vol. 3,Self-Help,Hardcover,Anthony,Doerr,Knopf,New York,USA,2016,17.88,2,0,35.76
30,2023-06-03,158,Wren,Garcia,wren.garcia158@email.com,Bronze,2020-05-10,Austin,IA,Prairie Lights,Iowa City,IA,Midwest,58,978-752-46347-76-7,No Trace Found Vol. 2,Mystery,Audiobook,Patrick,Rothfuss,Simon & Schuster,New York,USA,2012,24.29,2,0,48.58
31,2021-08-07,300,Alex,Williams,alex.williams300@email.com,Silver,2020-10-11,New York,MA,Harvard Book Store,Cambridge,MA,Northeast,67,978-765-18993-93-0,The Cold Case Vol. 3,Mystery,Hardcover,N.K.,Jemisin,Penguin Random House,New York,USA,2016,42.99,1,20,34.39
32,2022-04-10,28,Victor,Lewis,victor.lewis28@email.com,Bronze,2021-10-05,New York,TX,The Booksmith,San Francisco,CA,Pacific,121,978-402-52823-63-2,The Iron Crown,Fantasy,Hardcover,Jhumpa,Lahiri,Vintage Books,New York,USA,2009,28.7,3,10,77.49
33,2021-10-21,242,Amara,Thompson,amara.thompson242@email.com,Bronze,2020-05-11,Menlo Park,FL,BookPeople,Austin,TX,South,19,978-652-36365-49-6,A Thousand Tomorrows Vol. 3,Fiction,eBook,Roxane,Gay,Simon & Schuster,New York,USA,2018,26.93,3,0,80.79
34,2021-04-26,272,Tara,Martin,tara.martin272@email.com,Bronze,2017-03-28,Portland,TX,Harvard Book Store,Cambridge,MA,Northeast,98,978-944-10150-94-8,Signal Lost Vol. 2,Science Fiction,Hardcover,Kazuo,Ishiguro,Scholastic,New York,USA,2017,41.98,1,0,41.98
35,2021-04-18,103,Omar,Scott,omar.scott103@email.com,Platinum,2017-04-27,Menlo Park,WA,Kepler's Books,Menlo Park,CA,Pacific,36,978-370-25129-23-8,Edge of Home Vol. 4,Fiction,eBook,Stephen,King,Farrar Straus Giroux,New York,USA,2008,40.67,2,10,73.2
36,2020-01-05,162,Fatima,Harris,fatima.harris162@email.com,Silver,2018-12-09,San Francisco,MO,Left Bank Books,St. Louis,MO,Midwest,37,978-803-93130-43-8,Edge of Home Vol. 5,Fiction,eBook,James,Patterson,Macmillan Publishers,New York,USA,2015,29.55,1,20,23.64
37,2019-12-29,171,Hector,Martin,hector.martin171@email.com,Bronze,2022-02-26,Asheville,OR,The Booksmith,San Francisco,CA,Pacific,125,978-791-40647-70-0,The Iron Crown Vol. 5,Fantasy,Audiobook,Ta-Nehisi,Coates,Macmillan Publishers,New York,USA,2016,36.95,3,0,110.85
38,2020-07-14,3,Blake,Taylor,blake.taylor3@email.com,Silver,2019-08-02,Denver,CA,Elliot Bay Book Co,Seattle,WA,Pacific,15,978-880-33416-74-1,Between Two Worlds Vol. 7,Fiction,Paperback,Jhumpa,Lahiri,Bloomsbury,London,UK,2013,24.42,1,0,24.42
39,2023-05-28,82,Grace,Harris,grace.harris82@email.com,Silver,2016-03-14,Cambridge,OR,Elliot Bay Book Co,Seattle,WA,Pacific,148,978-895-84395-86-1,The Last Mage Vol. 4,Fantasy,eBook,Donna,Tartt,Vintage Books,New York,USA,2014,14.34,1,20,11.47
40,2021-05-29,223,Diana,Williams,diana.williams223@email.com,Bronze,2020-03-03,Denver,FL,The Booksmith,San Francisco,CA,Pacific,34,978-371-27361-54-1,Edge of Home Vol. 2,Fiction,Hardcover,Stephen,King,Vintage Books,New York,USA,2011,11.48,2,5,21.82
41,2019-01-10,245,Sam,Allen,sam.allen245@email.com,Bronze,2016-08-03,Asheville,CA,Prairie Lights,Iowa City,IA,Midwest,248,978-219-99167-36-9,Your Best Self Vol. 8,Self-Help,Paperback,Anthony,Doerr,Farrar Straus Giroux,New York,USA,2021,14.58,3,0,43.74
42,2020-10-21,192,Rosa,Scott,rosa.scott192@email.com,Platinum,2023-01-03,Austin,CA,Powell's Books,Portland,OR,Pacific,52,978-584-32241-94-1,Dead by Dawn Vol. 4,Mystery,Audiobook,Lauren,Groff,Scholastic,New York,USA,2011,24.01,3,20,57.63
43,2019-01-09,10,Omar,Thomas,omar.thomas10@email.com,Gold,2016-09-27,Austin,MO,The Booksmith,San Francisco,CA,Pacific,49,978-421-96951-25-4,Dead by Dawn,Mystery,Hardcover,Ta-Nehisi,Coates,Bloomsbury,London,UK,2015,41.25,3,15,105.18
44,2023-12-02,116,Bailey,Harris,bailey.harris116@email.com,Silver,2021-12-03,San Francisco,MO,Left Bank Books,St. Louis,MO,Midwest,64,978-646-13534-60-9,No Trace Found Vol. 8,Mystery,Paperback,Zadie,Smith,Bloomsbury,London,UK,2009,37.57,2,0,75.14
45,2021-10-27,53,Carlos,Thomas,carlos.thomas53@email.com,Platinum,2019-07-22,Coral Gables,TX,Prairie Lights,Iowa City,IA,Midwest,34,978-371-27361-54-1,Edge of Home Vol. 2,Fiction,Hardcover,Stephen,King,Vintage Books,New York,USA,2011,11.48,2,10,20.66
46,2020-09-02,34,Lila,Taylor,lila.taylor34@email.com,Gold,2017-12-07,Asheville,WA,Powell's Books,Portland,OR,Pacific,43,978-263-24168-58-0,The Last Clue Vol. 3,Mystery,Audiobook,Colson,Whitehead,Scholastic,New York,USA,2012,36.27,2,0,72.54
47,2021-12-09,267,Kenji,Davis,kenji.davis267@email.com,Platinum,2017-02-17,St. Louis,NC,Books & Books,Coral Gables,FL,South,187,978-145-56176-79-5,Becoming More Vol. 3,Biography,Hardcover,Ta-Nehisi,Coates,Hachette Book Group,New York,USA,2015,35.22,2,0,70.44
48,2021-09-30,69,Victor,Jackson,victor.jackson69@email.com,Gold,2015-12-18,Austin,MO,Kepler's Books,Menlo Park,CA,Pacific,228,978-570-79878-53-8,The Lost Century Vol. 4,History,Audiobook,Roxane,Gay,Scholastic,New York,USA,2015,26.86,1,0,26.86
49,2020-04-12,207,Carlos,Robinson,carlos.robinson207@email.com,Bronze,2021-05-14,Iowa City,CA,Powell's Books,Portland,OR,Pacific,43,978-263-24168-58-0,The Last Clue Vol. 3,Mystery,Audiobook,Colson,Whitehead,Scholastic,New York,USA,2012,36.27,3,0,108.81
50,2019-02-14,109,Fatima,Walker,fatima.walker109@email.com,Platinum,2022-05-16,Iowa City,OR,Left Bank Books,St. Louis,MO,Midwest,34,978-371-27361-54-1,Edge of Home Vol. 2,Fiction,Hardcover,Stephen,King,Vintage Books,New York,USA,2011,11.48,3,10,30.99
51,2022-12-27,64,Ethan,Scott,ethan.scott64@email.com,Bronze,2022-09-24,Asheville,MO,Kepler's Books,Menlo Park,CA,Pacific,44,978-412-39831-38-0,The Last Clue Vol. 4,Mystery,Paperback,Mary,Oliver,Vintage Books,New York,USA,2019,15.78,1,15,13.41
52,2022-06-30,131,Xander,Green,xander.green131@email.com,Silver,2022-05-01,Cambridge,OR,Malaprop's Bookstore,Asheville,NC,South,97,978-137-69614-21-5,Signal Lost,Science Fiction,eBook,David,Sedaris,Vintage Books,New York,USA,2017,31.52,3,0,94.56
53,2023-09-09,56,Rosa,Martin,rosa.martin56@email.com,Bronze,2015-08-18,St. Louis,CO,The Booksmith,San Francisco,CA,Pacific,13,978-710-71348-77-4,Between Two Worlds Vol. 5,Fiction,Audiobook,James,Patterson,Simon & Schuster,New York,USA,2017,29.27,1,0,29.27
54,2021-06-28,60,Victor,Moore,victor.moore60@email.com,Bronze,2021-02-02,Denver,CA,Prairie Lights,Iowa City,IA,Midwest,177,978-950-67340-21-3,The Long Road,Biography,eBook,Malcolm,Gladwell,Simon & Schuster,New York,USA,2021,24.27,1,5,23.06
55,2022-12-08,130,Yara,King,yara.king130@email.com,Silver,2019-12-13,Iowa City,NY,Elliot Bay Book Co,Seattle,WA,Pacific,141,978-256-72163-18-1,Blood and Stone Vol. 5,Fantasy,eBook,Isabel,Allende,HarperCollins,New York,USA,2013,23.5,1,0,23.5
56,2021-05-11,5,Bailey,Jackson,bailey.jackson5@email.com,Bronze,2019-03-19,San Francisco,CA,Harvard Book Store,Cambridge,MA,Northeast,178,978-505-75799-57-3,The Long Road Vol. 2,Biography,eBook,Erik,Larson,Vintage Books,New York,USA,2018,40.63,1,15,34.54
57,2022-06-29,267,Kenji,Davis,kenji.davis267@email.com,Platinum,2017-02-17,St. Louis,NC,Harvard Book Store,Cambridge,MA,Northeast,170,978-884-73736-34-3,Against All Odds Vol. 2,Biography,eBook,Ta-Nehisi,Coates,Penguin Random House,New York,USA,2011,19.49,3,10,52.62
58,2021-11-13,215,Ethan,Brown,ethan.brown215@email.com,Silver,2022-12-22,Menlo Park,IA,The Strand,New York,NY,Northeast,36,978-370-25129-23-8,Edge of Home Vol. 4,Fiction,eBook,Stephen,King,Farrar Straus Giroux,New York,USA,2008,40.67,3,15,103.71
59,2023-05-27,145,Wren,Thomas,wren.thomas145@email.com,Platinum,2015-09-17,Austin,IA,The Strand,New York,NY,Northeast,31,978-513-25713-82-3,The Glass Garden Vol. 7,Fiction,Paperback,Andy,Weir,HarperCollins,New York,USA,2007,11.32,2,0,22.64
60,2023-08-30,103,Omar,Scott,omar.scott103@email.com,Platinum,2017-04-27,Menlo Park,WA,Harvard Book Store,Cambridge,MA,Northeast,51,978-393-37549-65-9,Dead by Dawn Vol. 3,Mystery,eBook,Zadie,Smith,Simon & Schuster,New York,USA,2005,22.8,1,10,20.52
61,2019-11-25,210,Hector,Brown,hector.brown210@email.com,Silver,2017-04-10,Coral Gables,NY,Harvard Book Store,Cambridge,MA,Northeast,92,978-549-26299-69-4,The Outer Reaches Vol. 4,Science Fiction,eBook,Toni,Morrison,Simon & Schuster,New York,USA,2023,29.22,3,0,87.66
62,2021-09-11,107,Quinn,Miller,quinn.miller107@email.com,Silver,2021-03-10,Menlo Park,NC,Left Bank Books,St. Louis,MO,Midwest,128,978-529-86983-29-6,The Iron Crown Vol. 8,Fantasy,Paperback,Haruki,Murakami,Farrar Straus Giroux,New York,USA,2016,22.2,1,0,22.2
63,2019-07-02,7,Rosa,Jackson,rosa.jackson7@email.com,Silver,2020-12-06,St. Louis,TX,The Booksmith,San Francisco,CA,Pacific,1,978-242-23434-96-8,The Quiet Hours,Fiction,Hardcover,Ocean,Vuong,HarperCollins,New York,USA,2012,34.2,3,0,102.6
64,2019-07-04,253,Kenji,Scott,kenji.scott253@email.com,Silver,2021-11-09,San Francisco,FL,Tattered Cover,Denver,CO,Mountain,172,978-285-91885-31-7,Against All Odds Vol. 4,Biography,Paperback,Zadie,Smith,Scholastic,New York,USA,2009,29.3,3,20,70.32
65,2022-08-12,52,Tara,Thompson,tara.thompson52@email.com,Gold,2017-10-30,Cambridge,IA,Harvard Book Store,Cambridge,MA,Northeast,20,978-353-39451-18-5,A Thousand Tomorrows Vol. 4,Fiction,Audiobook,Zadie,Smith,Scholastic,New York,USA,2019,39.58,2,0,79.16
66,2019-04-13,136,Lila,Young,lila.young136@email.com,Silver,2018-02-25,Menlo Park,MO,Elliot Bay Book Co,Seattle,WA,Pacific,76,978-599-37802-55-4,Shadows Remain Vol. 4,Mystery,eBook,Zadie,Smith,Bloomsbury,London,UK,2015,9.97,1,0,9.97
67,2021-01-07,21,Victor,Jackson,victor.jackson21@email.com,Gold,2020-11-18,St. Louis,IA,Harvard Book Store,Cambridge,MA,Northeast,224,978-585-44803-93-9,When Nations Fall Vol. 8,History,Audiobook,Zadie,Smith,HarperCollins,New York,USA,2005,28.84,3,20,69.21
68,2019-08-26,219,Alex,Wright,alex.wright219@email.com,Silver,2017-06-29,Austin,IA,Left Bank Books,St. Louis,MO,Midwest,81,978-296-38361-71-4,Orbit Zero,Science Fiction,eBook,Isabel,Allende,Hachette Book Group,New York,USA,2022,13.05,1,0,13.05
69,2022-08-18,71,Zoe,Walker,zoe.walker71@email.com,Platinum,2016-09-23,Menlo Park,CA,The Booksmith,San Francisco,CA,Pacific,3,978-928-10851-30-6,The Quiet Hours Vol. 3,Fiction,Audiobook,Roxane,Gay,Hachette Book Group,New York,USA,2023,16.48,2,0,32.96
70,2020-07-03,225,Marcus,Hall,marcus.hall225@email.com,Silver,2019-10-14,Menlo Park,TX,Books & Books,Coral Gables,FL,South,92,978-549-26299-69-4,The Outer Reaches Vol. 4,Science Fiction,eBook,Toni,Morrison,Simon & Schuster,New York,USA,2023,29.22,1,15,24.84
71,2019-08-22,176,Quinn,Wright,quinn.wright176@email.com,Platinum,2019-08-29,St. Louis,IA,Tattered Cover,Denver,CO,Mountain,96,978-978-31079-52-6,The Outer Reaches Vol. 8,Science Fiction,eBook,Malcolm,Gladwell,Vintage Books,New York,USA,2015,22.87,2,5,43.46
72,2023-09-08,234,Blake,Scott,blake.scott234@email.com,Gold,2020-04-16,Coral Gables,TX,Harvard Book Store,Cambridge,MA,Northeast,247,978-163-81781-74-3,Your Best Self Vol. 7,Self-Help,eBook,Andy,Weir,Vintage Books,New York,USA,2023,11.65,3,5,33.21
73,2022-08-21,245,Sam,Allen,sam.allen245@email.com,Bronze,2016-08-03,Asheville,CA,Prairie Lights,Iowa City,IA,Midwest,218,978-683-83638-34-5,When Nations Fall Vol. 2,History,Audiobook,Isabel,Allende,Scholastic,New York,USA,2017,21.43,1,20,17.14
74,2023-01-27,68,Rosa,Jackson,rosa.jackson68@email.com,Silver,2019-11-04,San Francisco,FL,Left Bank Books,St. Louis,MO,Midwest,29,978-159-85914-79-0,The Glass Garden Vol. 5,Fiction,Audiobook,David,Sedaris,Farrar Straus Giroux,New York,USA,2014,14.25,1,0,14.25
75,2021-09-15,214,Zoe,Hall,zoe.hall214@email.com,Bronze,2018-05-31,Austin,CA,Books & Books,Coral Gables,FL,South,27,978-516-73653-71-3,The Glass Garden Vol. 3,Fiction,Hardcover,Ocean,Vuong,Farrar Straus Giroux,New York,USA,2012,41.94,3,20,100.65
76,2022-06-05,225,Marcus,Hall,marcus.hall225@email.com,Silver,2019-10-14,Menlo Park,TX,Tattered Cover,Denver,CO,Mountain,174,978-476-98907-83-7,Against All Odds Vol. 6,Biography,eBook,Roxane,Gay,Hachette Book Group,New York,USA,2020,41.82,2,5,79.46
77,2023-09-14,15,Yara,Baker,yara.baker15@email.com,Silver,2015-08-20,Asheville,MA,The Booksmith,San Francisco,CA,Pacific,157,978-897-32037-19-8,Emberfall Vol. 5,Fantasy,eBook,Malcolm,Gladwell,Bloomsbury,London,UK,2012,34.35,1,15,29.2
78,2021-04-22,250,Sam,Green,sam.green250@email.com,Platinum,2016-12-19,Cambridge,MO,The Strand,New York,NY,Northeast,124,978-370-80329-25-7,The Iron Crown Vol. 4,Fantasy,eBook,Mary,Oliver,Farrar Straus Giroux,New York,USA,2017,12.06,1,5,11.46
79,2020-10-05,134,Wren,Thomas,wren.thomas134@email.com,Platinum,2022-12-21,Denver,FL,The Booksmith,San Francisco,CA,Pacific,17,978-345-17592-40-9,A Thousand Tomorrows,Fiction,Hardcover,Chimamanda,Adichie,Vintage Books,New York,USA,2016,12.79,3,0,38.37
80,2022-03-26,269,James,Wilson,james.wilson269@email.com,Bronze,2016-01-28,Iowa City,FL,Left Bank Books,St. Louis,MO,Midwest,223,978-935-12180-57-5,When Nations Fall Vol. 7,History,Audiobook,Chimamanda,Adichie,Farrar Straus Giroux,New York,USA,2014,33.09,3,15,84.39
81,2021-12-07,174,Amara,Robinson,amara.robinson174@email.com,Bronze,2015-10-04,Cambridge,TX,Malaprop's Bookstore,Asheville,NC,South,58,978-752-46347-76-7,No Trace Found Vol. 2,Mystery,Audiobook,Patrick,Rothfuss,Simon & Schuster,New York,USA,2012,24.29,3,15,61.95
82,2022-09-17,49,Quinn,King,quinn.king49@email.com,Gold,2018-01-30,Portland,NC,Prairie Lights,Iowa City,IA,Midwest,159,978-281-92306-73-7,Emberfall Vol. 7,Fantasy,eBook,Celeste,Ng,Simon & Schuster,New York,USA,2009,15.7,1,15,13.35
83,2022-10-17,178,James,Brown,james.brown178@email.com,Silver,2020-09-25,Denver,NC,The Booksmith,San Francisco,CA,Pacific,124,978-370-80329-25-7,The Iron Crown Vol. 4,Fantasy,eBook,Mary,Oliver,Farrar Straus Giroux,New York,USA,2017,12.06,2,15,20.5
84,2019-04-22,286,Ethan,Green,ethan.green286@email.com,Gold,2021-09-03,Menlo Park,MO,Books & Books,Coral Gables,FL,South,39,978-674-11267-24-1,Edge of Home Vol. 7,Fiction,Paperback,Ocean,Vuong,Macmillan Publishers,New York,USA,2022,34.19,3,0,102.57
85,2023-10-05,81,Lila,Moore,lila.moore81@email.com,Platinum,2017-10-07,Coral Gables,FL,Malaprop's Bookstore,Asheville,NC,South,240,978-790-35318-32-9,Turning Points Vol. 8,History,Hardcover,David,Sedaris,Simon & Schuster,New York,USA,2014,34.04,2,5,64.68
86,2023-03-19,85,Tara,Allen,tara.allen85@email.com,Platinum,2017-04-02,Menlo Park,CO,The Strand,New York,NY,Northeast,223,978-935-12180-57-5,When Nations Fall Vol. 7,History,Audiobook,Chimamanda,Adichie,Farrar Straus Giroux,New York,USA,2014,33.09,2,5,62.88
87,2019-04-14,170,Blake,Scott,blake.scott170@email.com,Platinum,2017-09-07,Iowa City,NY,Harvard Book Store,Cambridge,MA,Northeast,62,978-871-61116-63-8,No Trace Found Vol. 6,Mystery,Audiobook,Mary,Oliver,Knopf,New York,USA,2016,25.21,1,10,22.69
88,2023-08-01,194,Sam,Thomas,sam.thomas194@email.com,Bronze,2016-05-04,Denver,TX,Prairie Lights,Iowa City,IA,Midwest,141,978-256-72163-18-1,Blood and Stone Vol. 5,Fantasy,eBook,Isabel,Allende,HarperCollins,New York,USA,2013,23.5,1,0,23.5
89,2021-07-06,228,Priya,White,priya.white228@email.com,Platinum,2021-03-05,Portland,NY,Books & Books,Coral Gables,FL,South,118,978-108-84177-97-0,First Contact Vol. 6,Science Fiction,eBook,Anthony,Doerr,Macmillan Publishers,New York,USA,2017,9.74,2,0,19.48
90,2021-10-15,162,Fatima,Harris,fatima.harris162@email.com,Silver,2018-12-09,San Francisco,MO,The Strand,New York,NY,Northeast,115,978-923-70981-46-8,First Contact Vol. 3,Science Fiction,Audiobook,Ocean,Vuong,Macmillan Publishers,New York,USA,2005,17.67,3,15,45.06
91,2021-04-24,53,Carlos,Thomas,carlos.thomas53@email.com,Platinum,2019-07-22,Coral Gables,TX,Prairie Lights,Iowa City,IA,Midwest,5,978-227-59615-20-8,The Quiet Hours Vol. 5,Fiction,eBook,Mary,Oliver,Scholastic,New York,USA,2019,36.43,3,0,109.29
92,2023-06-10,1,Xander,Davis,xander.davis1@email.com,Bronze,2021-06-26,Portland,IA,The Strand,New York,NY,Northeast,141,978-256-72163-18-1,Blood and Stone Vol. 5,Fantasy,eBook,Isabel,Allende,HarperCollins,New York,USA,2013,23.5,3,10,63.45
93,2022-02-25,156,Carlos,Garcia,carlos.garcia156@email.com,Silver,2021-08-28,Asheville,CA,Malaprop's Bookstore,Asheville,NC,South,164,978-163-69050-23-5,A Life Remembered Vol. 4,Biography,eBook,Ocean,Vuong,Hachette Book Group,New York,USA,2021,29.56,3,0,88.68
